,city,local,parameter,value,unit
892,Barcelona,2020-02-20T03:00:00+01:00,no2,37,µg/m³
893,Barcelona,2020-02-20T02:00:00+01:00,no2,34,µg/m³
894,Barcelona,2020-02-20T01:00:00+01:00,no2,35,µg/m³
895,Barcelona,2020-02-20T00:00:00+01:00,no2,42,µg/m³
896,Barcelona,2020-02-19T23:00:00+01:00,no2,58,µg/m³
897,Barcelona,2020-02-19T22:00:00+01:00,no2,75,µg/m³
898,Barcelona,2020-02-19T21:00:00+01:00,no2,68,µg/m³
899,Barcelona,2020-02-19T20:00:00+01:00,no2,37,µg/m³
900,Barcelona,2020-02-19T19:00:00+01:00,no2,32,µg/m³
901,Barcelona,2020-02-19T18:00:00+01:00,no2,28,µg/m³
902,Barcelona,2020-02-19T17:00:00+01:00,no2,25,µg/m³
903,Barcelona,2020-02-19T16:00:00+01:00,no2,35,µg/m³
904,Barcelona,2020-02-19T15:00:00+01:00,no2,41,µg/m³
905,Barcelona,2020-02-19T14:00:00+01:00,no2,39,µg/m³
906,Barcelona,2020-02-19T13:00:00+01:00,no2,27,µg/m³
907,Barcelona,2020-02-19T12:00:00+01:00,no2,26,µg/m³
908,Barcelona,2020-02-19T11:00:00+01:00,no2,28,µg/m³
909,Barcelona,2020-02-19T10:00:00+01:00,no2,36,µg/m³
910,Barcelona,2020-02-19T09:00:00+01:00,no2,32,µg/m³
911,Barcelona,2020-02-19T08:00:00+01:00,no2,29,µg/m³
912,Barcelona,2020-02-19T07:00:00+01:00,no2,18,µg/m³
913,Barcelona,2020-02-19T06:00:00+01:00,no2,18,µg/m³
914,Barcelona,2020-02-19T05:00:00+01:00,no2,38,µg/m³
915,Barcelona,2020-02-19T04:00:00+01:00,no2,49,µg/m³
916,Barcelona,2020-02-19T03:00:00+01:00,no2,52,µg/m³
917,Barcelona,2020-02-19T02:00:00+01:00,no2,48,µg/m³
918,Barcelona,2020-02-19T01:00:00+01:00,no2,41,µg/m³
919,Barcelona,2020-02-19T00:00:00+01:00,no2,49,µg/m³
920,Barcelona,2020-02-18T23:00:00+01:00,no2,48,µg/m³
921,Barcelona,2020-02-18T22:00:00+01:00,no2,58,µg/m³
922,Barcelona,2020-02-18T21:00:00+01:00,no2,74,µg/m³
923,Barcelona,2020-02-18T20:00:00+01:00,no2,78,µg/m³
924,Barcelona,2020-02-18T19:00:00+01:00,no2,65,µg/m³
925,Barcelona,2020-02-18T18:00:00+01:00,no2,40,µg/m³
926,Barcelona,2020-02-18T17:00:00+01:00,no2,33,µg/m³
927,Barcelona,2020-02-18T16:00:00+01:00,no2,30,µg/m³
928,Barcelona,2020-02-18T15:00:00+01:00,no2,34,µg/m³
929,Barcelona,2020-02-18T14:00:00+01:00,no2,40,µg/m³
930,Barcelona,2020-02-18T13:00:00+01:00,no2,29,µg/m³
931,Barcelona,2020-02-18T12:00:00+01:00,no2,17,µg/m³
932,Barcelona,2020-02-18T11:00:00+01:00,no2,20,µg/m³
933,Barcelona,2020-02-18T10:00:00+01:00,no2,26,µg/m³
934,Barcelona,2020-02-18T09:00:00+01:00,no2,26,µg/m³
935,Barcelona,2020-02-18T08:00:00+01:00,no2,21,µg/m³
936,Barcelona,2020-02-18T07:00:00+01:00,no2,11,µg/m³
937,Barcelona,2020-02-18T06:00:00+01:00,no2,6,µg/m³
938,Barcelona,2020-02-18T05:00:00+01:00,no2,8,µg/m³
939,Barcelona,2020-02-18T04:00:00+01:00,no2,7,µg/m³
940,Barcelona,2020-02-18T03:00:00+01:00,no2,6,µg/m³
941,Barcelona,2020-02-18T02:00:00+01:00,no2,10,µg/m³
942,Barcelona,2020-02-18T01:00:00+01:00,no2,12,µg/m³
943,Barcelona,2020-02-18T00:00:00+01:00,no2,19,µg/m³
944,Barcelona,2020-02-17T23:00:00+01:00,no2,33,µg/m³
945,Barcelona,2020-02-17T22:00:00+01:00,no2,41,µg/m³
946,Barcelona,2020-02-17T21:00:00+01:00,no2,41,µg/m³
947,Barcelona,2020-02-17T20:00:00+01:00,no2,60,µg/m³
948,Barcelona,2020-02-17T19:00:00+01:00,no2,82,µg/m³
949,Barcelona,2020-02-17T18:00:00+01:00,no2,59,µg/m³
950,Barcelona,2020-02-17T17:00:00+01:00,no2,31,µg/m³
951,Barcelona,2020-02-17T16:00:00+01:00,no2,17,µg/m³
952,Barcelona,2020-02-17T15:00:00+01:00,no2,14,µg/m³
953,Barcelona,2020-02-17T14:00:00+01:00,no2,16,µg/m³
954,Barcelona,2020-02-17T13:00:00+01:00,no2,18,µg/m³
955,Barcelona,2020-02-17T12:00:00+01:00,no2,21,µg/m³
956,Barcelona,2020-02-17T11:00:00+01:00,no2,36,µg/m³
957,Barcelona,2020-02-17T10:00:00+01:00,no2,49,µg/m³
